Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Corinthians,13,2,4,8,6,5,1,2,1
Vasco,11,7,1,8,5,6,2,3,2
Fluminense,12,0,7,8,3,8,3,5,5
Flamengo,9,7,3,6,9,4,4,8,4
Internacional,10,6,3,6,6,7,5,6,7
Sao Paulo,9,6,4,7,5,7,6,11,6
Figueirense,8,6,5,7,7,5,7,14,3
Coritiba,13,4,2,3,5,11,8,1,15
Botafogo-RJ,11,5,3,5,3,11,9,4,9
Santos,10,5,4,5,3,11,10,7,10
Palmeiras,9,6,4,2,11,6,11,10,12
Atletico-GO,9,3,7,3,9,7,12,15,8
Gremio,9,6,4,4,3,12,13,12,13
Bahia,7,7,5,4,6,9,14,18,11
Atletico-MG,10,3,6,3,3,13,15,9,17
Cruzeiro,8,5,6,3,5,11,16,16,14
Athletico-PR,8,8,3,2,3,14,17,13,20
Ceara,7,5,7,3,4,12,18,19,16
America-MG,7,7,5,1,6,12,19,17,19
Avai,4,7,8,3,3,13,20,20,18
