Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Cruzeiro,17,5,1,14,2,7,1,1,1
Santos,15,6,2,10,6,7,2,2,2
Sao Paulo,13,5,5,9,7,7,3,13,3
Coritiba,14,5,4,7,5,11,4,6,5
Atletico-MG,13,5,5,6,10,7,5,12,4
Sao Caetano,15,5,3,4,9,10,6,3,9
Internacional,13,7,3,7,3,13,7,8,7
Flamengo,14,5,4,4,7,12,8,5,13
Goias,12,7,4,6,4,13,9,14,8
Figueirense,11,8,4,6,6,11,10,15,6
Parana,13,6,4,5,5,13,11,11,11
Guarani,15,3,5,2,7,14,12,4,20
Athletico-PR,14,4,5,3,6,14,13,7,15
Criciuma,14,3,6,3,6,14,14,10,16
Paysandu,13,7,3,2,5,16,15,9,22
Corinthians,11,4,8,4,8,11,16,21,12
Vitoria,11,5,7,4,6,13,17,19,14
Vasco,11,7,5,2,8,13,18,17,18
Ponte Preta,7,10,6,4,8,11,19,24,10
Juventude,9,10,4,3,4,16,20,20,21
Fluminense,11,7,5,2,4,17,21,16,23
Gremio,10,6,7,3,5,15,22,23,17
Fortaleza,10,6,7,2,7,14,23,22,19
Bahia,11,6,6,1,4,18,24,18,24
