Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Palmeiras,14,4,1,10,4,5,1,3,1
Flamengo,12,5,2,8,6,5,2,5,2
Santos,15,2,2,7,3,9,3,2,4
Atletico-MG,13,3,3,4,8,6,4,4,9
Botafogo-RJ,10,5,4,7,3,9,5,10,3
Athletico-PR,15,3,1,2,3,14,6,1,17
Corinthians,10,7,2,5,3,11,7,7,10
Ponte Preta,13,2,4,2,6,11,8,6,13
Gremio,11,4,4,3,7,9,9,8,12
Sao Paulo,9,5,5,5,5,9,10,13,7
Chapecoense,8,6,4,5,7,7,11,16,6
Cruzeiro,7,7,5,7,2,10,12,17,5
Fluminense,8,6,5,5,5,9,13,15,8
Sport,10,5,4,3,3,13,14,9,14
Coritiba,9,7,3,2,6,11,15,11,15
Vitoria,8,4,7,4,5,10,16,18,11
Internacional,9,5,5,2,5,12,17,12,16
Figueirense,7,9,3,1,4,14,18,14,19
Santa Cruz,7,2,10,1,5,13,19,20,18
America-MG,7,3,9,0,4,15,20,19,20
