Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Flamengo,12,4,2,7,6,7,1,4,2
Internacional,12,4,3,7,4,8,2,5,3
Sao Paulo,12,6,1,6,5,8,3,2,5
Palmeiras,11,7,1,6,4,9,4,3,7
Cruzeiro,9,3,7,9,5,5,5,16,1
Avai,10,6,3,5,6,8,6,8,8
Atletico-MG,9,5,5,7,3,9,7,12,4
Gremio,14,5,0,1,5,13,8,1,19
Goias,9,6,4,6,4,9,9,10,6
Corinthians,10,2,7,4,8,7,10,13,9
Barueri,10,7,2,2,6,11,11,7,14
Santos,8,6,5,4,7,8,12,17,10
Vitoria,11,5,3,2,4,13,13,6,17
Athletico-PR,9,6,4,4,3,12,14,11,12
Botafogo-RJ,8,7,5,3,7,8,15,15,11
Fluminense,8,7,4,3,6,10,16,14,13
Coritiba,10,4,5,2,5,12,17,9,16
Santo Andre,8,5,6,3,3,13,18,18,15
Nautico,8,4,7,2,4,13,19,19,18
Sport,7,3,9,0,7,12,20,20,20
