Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Sao Paulo,14,4,1,8,8,3,1,2,2
Internacional,10,6,3,10,3,6,2,7,1
Gremio,13,3,3,7,4,8,3,3,4
Santos,15,2,2,3,8,8,4,1,12
Parana,12,4,3,6,2,11,5,4,8
Vasco,8,9,2,7,5,7,6,12,3
Figueirense,9,7,3,6,5,8,7,10,5
Goias,9,5,5,6,5,8,8,13,6
Corinthians,9,3,7,6,5,8,9,14,7
Cruzeiro,10,8,1,4,3,12,10,6,15
Flamengo,10,5,4,5,2,12,11,8,14
Botafogo-RJ,10,4,5,3,8,8,12,9,13
Athletico-PR,9,3,7,4,6,9,13,15,10
Juventude,11,6,2,2,2,15,14,5,19
Fluminense,7,6,6,4,6,9,15,16,9
Palmeiras,10,4,5,2,4,13,16,11,18
Ponte Preta,8,3,8,2,6,11,17,17,16
Fortaleza,5,5,9,3,9,7,18,20,11
Sao Caetano,6,6,7,3,3,13,19,18,17
Santa Cruz,6,4,9,1,3,15,20,19,20
