Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Flamengo,17,2,0,11,4,4,1,1,1
Santos,14,4,1,8,4,7,2,2,3
Palmeiras,13,4,2,8,7,4,3,3,2
Gremio,12,3,4,7,5,7,4,6,5
Athletico-PR,12,3,4,6,7,6,5,4,6
Sao Paulo,10,6,3,7,6,6,6,8,4
Internacional,11,6,2,5,3,11,7,5,12
Corinthians,10,7,2,4,7,8,8,7,10
Fortaleza,11,2,6,4,6,9,9,10,11
Goias,11,3,5,4,4,11,10,9,13
Bahia,7,8,4,5,5,9,11,13,9
Vasco,7,6,6,5,7,7,12,15,7
Atletico-MG,10,2,7,3,7,9,13,11,14
Fluminense,6,7,6,6,3,10,14,16,8
Botafogo-RJ,9,2,8,4,2,13,15,14,16
Ceara,8,6,5,2,3,14,16,12,19
Cruzeiro,5,8,6,2,7,10,17,18,17
Chapecoense,4,5,10,3,6,10,18,19,15
CSA,6,5,8,2,3,14,19,17,18
Avai,1,9,9,2,2,15,20,20,20
