Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Corinthians,16,2,1,8,7,4,1,1,1
Atletico-MG,13,2,4,8,4,7,2,7,2
Gremio,14,3,2,6,5,8,3,3,3
Sao Paulo,12,6,1,6,2,11,4,6,8
Internacional,14,3,2,3,6,10,5,4,14
Sport,13,5,1,2,9,8,6,5,13
Santos,15,3,1,1,7,11,7,2,19
Cruzeiro,10,6,3,5,4,10,8,8,9
Palmeiras,9,4,6,6,4,9,9,12,4
Ponte Preta,9,4,6,4,8,7,10,13,6
Athletico-PR,9,6,4,5,3,11,11,10,10
Flamengo,8,3,8,7,1,11,12,16,5
Chapecoense,9,5,5,3,6,10,13,11,15
Fluminense,10,3,6,4,2,13,14,9,16
Coritiba,6,8,5,5,3,11,15,17,11
Figueirense,7,6,6,4,4,11,16,15,12
Avai,8,5,6,3,4,12,17,14,18
Vasco,5,6,8,5,5,9,18,20,7
Goias,7,4,8,3,4,12,19,18,17
Joinville,6,7,6,1,3,15,20,19,20
