Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Fluminense,11,5,3,11,6,2,1,5,1
Atletico-MG,14,5,0,6,7,6,2,2,4
Gremio,13,4,2,7,7,5,3,3,2
Sao Paulo,15,2,2,5,4,10,4,1,11
Vasco,9,4,6,7,6,6,5,14,3
Corinthians,10,6,3,5,6,8,6,6,8
Botafogo-RJ,9,4,6,6,6,7,7,13,5
Santos,8,9,2,5,5,9,8,9,9
Internacional,9,4,6,4,9,6,9,12,7
Cruzeiro,9,5,5,6,2,11,10,10,10
Flamengo,8,8,3,4,6,9,11,11,12
Nautico,13,3,3,1,4,14,12,4,20
Ponte Preta,9,7,3,3,5,11,13,8,14
Coritiba,11,2,6,3,4,12,14,7,16
Bahia,5,9,5,6,5,8,15,17,6
Portuguesa,7,8,4,3,7,9,16,15,13
Sport,7,6,6,3,5,11,17,16,15
Palmeiras,6,5,8,3,2,14,18,18,18
Figueirense,5,6,8,2,3,14,19,19,19
Atletico-GO,5,3,11,2,6,11,20,20,17
