Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Palmeiras,13,4,2,10,8,1,1,2,1
Internacional,13,5,1,7,8,4,2,1,5
Fluminense,12,3,4,9,4,6,3,4,2
Corinthians,12,4,3,6,7,6,4,3,8
Flamengo,11,3,5,7,5,7,5,7,6
Atletico-MG,8,5,6,7,8,4,6,10,4
Athletico-PR,11,6,2,5,4,10,7,5,12
Fortaleza,7,8,4,8,2,9,8,13,7
Sao Paulo,8,6,5,5,9,5,9,9,9
America-MG,9,4,6,6,4,9,10,8,10
Botafogo-RJ,6,4,9,9,4,6,11,18,3
Santos,8,5,6,4,6,9,12,11,13
Goias,6,8,5,5,5,9,13,14,11
Bragantino,8,5,6,3,6,10,14,12,16
Coritiba,11,4,4,1,2,16,15,6,20
Cuiaba,6,8,5,4,3,12,16,15,15
Ceara,4,8,7,3,8,8,17,19,14
Atletico-GO,6,5,8,2,7,10,18,17,17
Avai,7,4,8,2,4,13,19,16,18
Juventude,2,9,8,1,4,14,20,20,19
