Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Sao Paulo,14,4,1,7,8,4,1,3,1
Gremio,14,4,1,7,5,7,2,2,3
Cruzeiro,15,2,2,6,2,11,3,1,6
Palmeiras,14,2,3,5,6,8,4,4,5
Flamengo,11,4,4,7,6,6,5,8,2
Internacional,13,4,2,2,5,12,6,5,17
Coritiba,10,6,3,4,5,10,7,10,9
Botafogo-RJ,9,4,6,6,4,9,8,16,4
Goias,11,4,4,3,7,9,9,9,10
Vitoria,11,5,3,4,2,13,10,7,12
Sport,11,6,2,3,4,12,11,6,14
Atletico-MG,9,8,2,3,4,12,12,12,13
Athletico-PR,10,6,3,2,3,14,13,11,18
Fluminense,7,6,6,4,6,9,14,18,8
Santos,9,6,4,2,6,11,15,13,16
Nautico,9,5,5,2,6,11,16,14,15
Figueirense,7,5,7,4,6,9,17,19,7
Vasco,7,4,8,4,3,12,18,20,11
Portuguesa,8,8,3,1,3,15,19,15,19
Ipatinga,9,3,7,0,5,14,20,17,20
