Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Corinthians,12,5,2,9,4,6,1,1,1
Palmeiras,12,3,4,7,3,9,2,3,7
Santos,12,4,3,5,8,6,3,2,10
Gremio,10,4,5,8,4,7,4,8,4
Cruzeiro,9,7,3,6,5,8,5,6,8
Flamengo,10,6,3,5,5,9,6,4,12
Vasco,8,7,4,7,4,8,7,9,5
Atletico-MG,7,4,8,7,8,4,8,17,2
Chapecoense,9,3,7,6,6,7,9,11,6
Botafogo-RJ,9,3,7,5,8,6,10,12,9
Athletico-PR,8,5,6,6,4,9,11,13,11
Bahia,10,4,5,3,7,9,12,7,18
Sao Paulo,9,8,2,4,3,12,13,5,19
Fluminense,7,6,6,4,8,7,14,15,13
Sport,7,7,5,5,2,12,15,14,17
Vitoria,3,5,11,8,5,6,16,20,3
Avai,5,9,5,5,4,10,17,18,14
Coritiba,7,5,7,4,5,10,18,16,16
Ponte Preta,9,3,7,1,6,12,19,10,20
Atletico-GO,4,5,10,5,4,10,20,19,15
