Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Santos,18,2,3,9,6,8,1,2,4
Athletico-PR,16,5,2,9,6,8,2,4,2
Sao Paulo,17,5,1,7,5,11,3,1,8
Palmeiras,12,5,6,10,8,5,4,11,1
Sao Caetano,15,3,5,8,5,10,5,6,6
Corinthians,12,7,4,8,7,8,6,10,5
Goias,16,5,2,5,4,14,7,3,12
Juventude,10,7,6,10,3,10,8,19,3
Fluminense,12,7,4,6,6,11,9,9,9
Internacional,15,4,4,5,3,15,10,5,13
Ponte Preta,11,4,8,8,3,12,11,17,7
Figueirense,13,7,3,4,5,14,12,7,17
Coritiba,11,5,7,4,12,7,13,16,10
Cruzeiro,12,3,8,4,5,14,14,13,16
Paysandu,12,7,4,2,7,14,15,8,21
Flamengo,10,7,6,3,8,12,16,18,15
Parana,12,2,9,3,7,13,17,15,19
Vasco,9,6,8,5,6,12,18,23,11
Atletico-MG,9,9,5,3,8,12,19,20,14
Botafogo-RJ,8,11,4,3,7,13,20,21,18
Criciuma,11,6,6,2,5,16,21,14,22
Guarani,8,10,5,3,6,14,22,22,20
Vitoria,12,5,6,1,4,18,23,12,24
Gremio,7,8,8,2,4,17,24,24,23
