Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Cruzeiro,15,2,2,9,6,4,1,1,1
Sao Paulo,11,6,2,9,4,6,2,7,2
Internacional,15,0,4,6,6,7,3,2,4
Corinthians,12,6,1,7,6,6,4,3,3
Atletico-MG,12,5,2,5,6,8,5,4,8
Fluminense,11,6,2,6,4,9,6,6,5
Gremio,12,4,3,5,6,8,7,5,6
Athletico-PR,10,5,4,5,4,10,8,9,10
Santos,10,3,6,5,5,9,9,13,9
Flamengo,10,5,4,4,5,10,10,10,11
Sport,10,6,3,4,4,11,11,8,12
Coritiba,10,5,4,2,6,11,12,11,17
Goias,10,4,5,3,4,12,13,12,16
Figueirense,7,5,7,6,3,10,14,17,7
Chapecoense,8,7,4,3,3,13,15,14,18
Palmeiras,7,4,8,4,3,12,16,18,13
Vitoria,6,5,8,4,3,12,17,19,15
Bahia,6,4,9,3,6,10,18,20,14
Botafogo-RJ,8,5,6,1,2,16,19,15,20
Criciuma,7,5,7,0,6,13,20,16,19
