Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Corinthians,12,6,3,12,3,6,1,5,1
Internacional,14,3,4,9,6,6,2,3,2
Goias,14,3,4,8,5,8,3,2,4
Palmeiras,14,4,3,6,6,9,4,1,8
Fluminense,11,4,6,8,7,6,5,11,3
Parana,11,4,6,6,6,9,6,13,9
Athletico-PR,13,5,3,5,2,14,7,4,15
Cruzeiro,11,4,6,6,5,10,8,12,10
Botafogo-RJ,12,4,5,5,4,12,9,7,13
Santos,9,7,5,7,4,10,10,16,7
Sao Paulo,10,6,5,6,4,11,11,15,12
Flamengo,8,8,5,6,5,10,12,18,11
Juventude,12,5,4,3,5,13,13,6,21
Fortaleza,12,4,5,4,3,14,14,8,19
Vasco,11,6,4,3,6,12,15,9,18
Figueirense,11,5,5,3,6,12,16,10,20
Sao Caetano,7,6,8,7,4,10,17,20,5
Ponte Preta,11,3,7,4,3,14,18,14,17
Coritiba,10,3,8,3,7,11,19,17,16
Atletico-MG,6,4,11,7,4,10,20,22,6
Brasiliense,6,7,8,4,5,12,21,21,14
Paysandu,10,2,9,2,3,16,22,19,22
