Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Palmeiras,14,2,3,6,8,5,1,1,6
Gremio,14,2,3,7,3,9,2,2,8
Flamengo,10,5,4,9,4,6,3,9,1
Atletico-MG,11,3,5,8,6,5,4,8,2
Botafogo-RJ,11,4,4,7,6,6,5,7,3
Bragantino,11,5,3,6,6,7,6,5,7
Fluminense,13,4,2,3,4,12,7,3,18
Athletico-PR,10,8,1,4,6,9,8,6,12
Internacional,9,5,5,6,5,8,9,11,9
Fortaleza,9,6,4,6,3,10,10,10,11
Sao Paulo,13,3,3,1,8,10,11,4,19
Cuiaba,6,6,7,8,3,8,12,16,5
Corinthians,6,10,3,6,4,9,13,14,10
Cruzeiro,4,8,7,7,6,6,14,18,4
Vasco,9,2,8,3,7,9,15,12,14
Bahia,8,5,6,4,3,12,16,13,16
Santos,6,7,6,5,3,11,17,15,13
Goias,5,7,7,4,4,11,18,17,15
Coritiba,4,4,11,4,2,13,19,20,17
America-MG,5,2,12,0,7,12,20,19,20
