Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Atletico-MG,17,1,1,9,5,5,1,1,1
Flamengo,13,1,5,8,7,4,2,2,2
Palmeiras,11,3,5,9,3,7,3,6,3
Fortaleza,11,4,4,6,3,10,4,5,7
Corinthians,10,5,4,5,7,7,5,7,6
Bragantino,7,9,3,7,5,7,6,13,4
Fluminense,11,5,3,4,4,11,7,3,14
Atletico-GO,6,10,3,7,4,8,8,17,5
America-MG,9,6,4,4,8,7,9,9,9
Ceara,10,7,2,1,10,8,10,4,18
Santos,9,6,4,3,8,8,11,8,13
Sao Paulo,7,9,3,4,6,9,12,11,12
Internacional,8,6,5,4,6,9,13,12,11
Cuiaba,7,6,6,3,11,5,14,18,8
Athletico-PR,8,5,6,5,3,11,15,16,10
Juventude,9,6,4,2,7,10,16,10,17
Bahia,8,5,6,3,5,11,17,15,16
Gremio,8,6,5,4,1,14,18,14,19
Sport,5,7,7,4,4,11,19,19,15
Chapecoense,0,6,13,1,6,12,20,20,20
