Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Cruzeiro,14,3,2,9,4,6,1,1,1
Gremio,12,4,3,6,7,6,2,4,2
Athletico-PR,13,5,1,5,5,9,3,2,9
Botafogo-RJ,11,5,3,6,5,8,4,6,3
Vitoria,11,6,2,5,5,9,5,5,7
Goias,10,6,3,6,5,8,6,8,5
Santos,10,7,2,5,5,9,7,7,10
Atletico-MG,13,5,1,2,7,10,8,3,19
Corinthians,8,9,2,3,8,8,9,11,13
Sao Paulo,8,3,8,6,5,8,10,18,4
Flamengo,8,7,4,4,6,9,11,12,11
Internacional,7,7,5,4,8,7,12,17,6
Coritiba,10,5,4,2,7,10,13,9,18
Bahia,7,7,5,5,5,9,14,16,8
Portuguesa,9,7,3,3,5,11,15,10,17
Criciuma,8,4,7,5,3,11,16,15,12
Fluminense,8,6,5,4,4,11,17,13,14
Vasco,8,5,6,3,6,10,18,14,16
Ponte Preta,6,4,9,3,6,10,19,19,15
Nautico,3,3,13,2,2,15,20,20,20
