Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Fluminense,12,5,2,8,6,5,1,3,2
Cruzeiro,11,5,3,9,4,6,2,4,1
Corinthians,15,2,2,4,9,6,3,1,8
Gremio,11,4,4,6,8,5,4,5,3
Athletico-PR,12,6,1,5,3,11,5,2,10
Botafogo-RJ,8,10,1,6,7,6,6,9,4
Internacional,9,7,3,7,3,9,7,10,5
Santos,10,5,4,5,6,8,8,8,7
Sao Paulo,10,3,6,5,7,7,9,11,6
Palmeiras,8,5,6,4,9,6,10,14,9
Vasco,9,9,1,2,7,10,11,7,14
Ceara,9,9,1,1,8,10,12,6,17
Atletico-MG,9,1,9,4,5,10,13,16,12
Flamengo,6,9,4,3,8,8,14,18,11
Avai,9,5,5,2,5,12,15,12,18
Atletico-GO,7,6,6,4,3,12,16,17,13
Vitoria,7,8,4,2,7,10,17,15,16
Guarani,7,9,3,1,4,14,18,13,20
Goias,5,5,9,3,4,12,19,20,15
Gremio Prudente,5,5,9,2,5,12,20,19,19
