Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Palmeiras,16,2,1,7,9,3,1,1,1
Flamengo,14,2,3,7,7,5,2,4,2
Internacional,14,4,1,5,8,6,3,2,5
Gremio,12,5,2,6,7,6,4,5,3
Sao Paulo,10,8,1,6,7,6,5,7,4
Atletico-MG,12,4,3,5,4,10,6,6,6
Athletico-PR,14,2,3,2,7,10,7,3,11
Cruzeiro,11,4,4,3,7,9,8,10,8
Botafogo-RJ,10,7,2,3,5,11,9,8,10
Santos,9,6,4,4,5,10,10,13,7
Bahia,10,7,2,2,5,12,11,9,16
Fluminense,9,5,5,3,4,12,12,15,12
Corinthians,9,8,2,2,3,14,13,11,17
Ceara,7,8,4,3,6,10,14,18,9
Chapecoense,10,5,4,1,6,12,15,12,18
Vasco,9,5,5,1,8,10,16,14,14
Sport,8,6,5,3,3,13,17,17,13
America-MG,8,7,4,2,3,14,18,16,19
Vitoria,7,5,7,2,5,12,19,19,15
Parana,3,10,6,1,1,17,20,20,20
